player_name,woba,xwoba,wOBA_minus_xwOBA,outlier,OPS,Bat Speed,Ideal Attack Angle%,LA Sweet Spot%,Barrel%,Whiff%,Swing%
"Garcia, Maikel",,,-0.009,False,0.693,72.0,41.3,32.9,4.9,14.2,39.2
"Heineman, Tyler",,,-0.04,False,0.427,65.4,45.8,26.7,1.4,21.3,55.8
"Reynolds, Bryan",,,0.014,False,0.872,72.9,43.7,36.4,10.3,28.9,44.9
"De La Cruz, Elly",,,-0.001,False,0.826,75.0,49.1,36.2,15.3,29.3,41.4
"García Jr., Luis",,,0.015,False,0.894,73.6,65.2,34.4,10.7,19.0,53.4
"Sanoja, Javier",,,0.041,False,0.737,69.6,51.5,30.5,1.5,11.5,51.1
"Cowser, Colton",,,-0.021,False,0.672,74.9,40.8,29.0,11.5,33.6,44.2
"Barrosa, Jorge",,,0.055,False,0.601,69.3,55.0,33.3,6.4,27.7,43.4
"Lee, Hao-Yu",,,0.02,False,0.665,70.7,54.2,35.8,7.5,29.8,50.8
"Fry, David",,,0.045,False,0.69,71.0,58.0,26.8,7.3,30.7,42.7
"Hamilton, David",,,0.03,False,0.65,69.7,37.3,25.0,3.8,21.9,45.2
"Trammell, Taylor",,,0.014,False,0.701,74.8,53.9,30.9,10.3,38.8,48.1
"Doyle, Brenton",,,0.004,False,0.549,71.9,58.4,25.4,5.9,32.2,53.4
"Hicks, Liam",,,0.046,False,0.817,68.5,52.1,25.8,3.7,10.4,41.7
"Greene, Riley",,,0.005,False,0.84,75.6,43.6,37.9,13.6,29.9,45.7
"Refsnyder, Rob",,,-0.054,False,0.422,71.9,59.7,23.4,6.5,27.5,44.2
"Rafaela, Ceddanne",,,0.05,False,0.768,69.9,50.9,36.0,5.0,24.3,54.5
"Martínez, Angel",,,0.004,False,0.718,71.0,48.9,36.0,7.9,19.2,54.7
"Hernaiz, Darell",,,0.017,False,0.606,69.1,40.4,30.9,1.0,22.8,50.7
"Rutschman, Adley",,,-0.011,False,0.774,70.9,44.4,40.5,7.5,15.9,41.8
"Smith, Cam",,,-0.042,False,0.67,77.3,46.4,31.6,11.8,28.8,47.1
"O'Hoppe, Logan",,,-0.007,False,0.598,72.1,58.4,30.5,11.3,28.1,51.4
"Henderson, Gunnar",,,-0.007,False,0.687,74.4,51.4,28.9,7.2,23.2,48.9
"Martin, Austin",,,0.003,False,0.688,69.1,55.6,32.2,2.2,20.7,39.4
"Harris II, Michael",,,-0.005,False,0.838,74.8,45.8,30.3,13.0,26.5,55.2
"Larnach, Trevor",,,0.019,False,0.804,71.9,46.0,38.3,7.3,26.1,42.6
"Quero, Edgar",,,-0.035,False,0.486,68.8,51.1,26.7,2.6,23.9,49.2
"Butler, Lawrence",,,-0.036,False,0.597,73.9,39.3,32.3,6.3,29.7,45.0
"Torkelson, Spencer",,,-0.005,False,0.727,73.1,51.9,46.9,14.4,30.8,42.7
"Benintendi, Andrew",,,-0.013,False,0.722,69.9,50.8,35.6,10.2,28.4,51.8
"Vaughn, Andrew",,,0.047,False,0.893,70.0,50.2,34.1,3.2,18.4,40.2
"McCarthy, Jake",,,0.049,False,0.848,71.1,49.0,37.7,5.9,22.7,55.7
"Ramírez, José",,,-0.028,False,0.757,70.1,59.4,36.6,6.6,17.3,46.7
"Ramírez, Agustín",,,0.014,False,0.663,75.9,51.2,26.7,4.7,31.0,48.4
"Friedl, TJ",,,-0.003,False,0.52,70.8,63.1,27.3,3.1,25.9,44.3
"Wood, James",,,-0.029,False,0.948,76.7,43.7,42.7,22.8,31.1,38.0
"Horwitz, Spencer",,,0.032,False,0.841,69.0,49.8,27.6,8.6,15.2,40.5
"Caminero, Junior",,,0.016,False,0.913,79.9,62.6,27.3,13.1,22.6,42.2
"Narváez, Carlos",,,-0.029,False,0.529,71.7,49.1,39.2,6.9,31.5,53.6
"Sosa, Lenyn",,,-0.036,False,0.49,72.4,49.5,34.4,5.6,21.5,56.0
"Yoshida, Masataka",,,0.002,False,0.688,71.2,48.5,31.1,2.0,16.6,42.5
"Nootbaar, Lars",,,-0.013,False,0.749,72.8,50.0,37.3,9.3,18.4,36.3
"McKinstry, Zach",,,-0.005,False,0.593,68.7,40.9,35.1,2.3,16.6,48.4
"Raleigh, Cal",,,-0.024,False,0.581,74.7,44.8,32.9,11.4,31.0,51.5
"Freeman, Tyler",,,0.0,False,0.701,70.3,30.9,31.6,1.1,12.6,49.5
"Valenzuela, Brandon",,,0.001,False,0.735,72.8,54.0,40.0,7.8,24.9,49.2
"Nuñez, Nasim",,,0.02,False,0.628,68.5,42.2,32.3,0.5,22.9,47.4
"Ward, Taylor",,,-0.01,False,0.735,68.2,45.5,37.0,5.8,19.4,34.7
"Benson, Will",,,-0.01,False,0.643,73.6,48.9,32.8,12.7,36.1,43.4
"Torrens, Luis",,,-0.005,False,0.591,70.5,52.6,28.8,4.1,21.9,47.8
"Grisham, Trent",,,-0.022,False,0.749,70.1,61.9,34.2,10.9,16.6,37.5
"Ortiz, Joey",,,-0.027,False,0.594,72.7,31.1,25.6,3.6,19.4,43.8
"Higashioka, Kyle",,,0.006,False,0.672,70.8,47.7,35.2,8.3,27.6,43.4
"Cruz, Oneil",,,-0.001,False,0.822,78.5,43.4,34.9,16.7,37.8,43.6
"Suzuki, Seiya",,,0.024,False,0.814,73.2,49.9,37.7,9.7,26.0,41.5
"Walls, Taylor",,,0.021,False,0.609,68.2,59.8,32.9,3.1,23.2,42.5
"Semien, Marcus",,,-0.045,False,0.612,68.7,59.9,37.6,8.0,23.6,51.1
"Jones, Jahmai",,,-0.084,True,0.44,73.0,54.4,30.0,8.3,34.2,49.2
"Lukes, Nathan",,,0.026,False,0.738,67.3,48.3,29.4,1.2,18.6,49.4
"Jung, Josh",,,0.008,False,0.811,70.6,57.3,40.2,6.1,18.5,46.2
"Mullins, Cedric",,,0.017,False,0.623,70.5,61.4,27.8,3.8,22.4,50.0
"Contreras, Willson",,,0.006,False,0.921,77.0,51.6,32.0,14.3,30.0,48.9
"Grissom, Vaughn",,,-0.02,False,0.702,71.5,47.9,34.2,5.9,20.0,47.7
"Keith, Colt",,,-0.023,False,0.687,72.0,49.6,38.7,7.8,21.1,43.9
"Foscue, Justin",,,0.027,False,0.933,70.7,60.5,38.7,13.3,20.8,43.9
"Mack, Joe",,,0.008,False,0.723,74.5,56.8,27.9,9.0,23.4,46.6
"Hedges, Austin",,,0.038,False,0.764,69.5,66.5,30.2,5.7,22.4,45.5
"Jansen, Danny",,,0.014,False,0.586,70.5,59.3,21.4,6.0,25.5,44.7
"Bell, Josh",,,-0.013,False,0.731,72.0,54.1,34.3,11.0,24.9,51.2
"Troy, Tommy",,,-0.023,False,0.662,72.0,52.0,32.2,10.0,24.8,45.2
"Monasterio, Andruw",,,-0.011,False,0.629,69.4,56.5,34.2,8.8,18.1,48.4
"Lopez, Nicky",,,0.057,False,0.706,66.6,60.7,23.2,0.0,18.3,53.7
"Tucker, Kyle",,,-0.009,False,0.731,71.3,44.8,34.6,5.3,23.2,48.4
"Sánchez, Jesús",,,-0.01,False,0.753,73.9,50.9,32.9,10.8,26.1,55.0
"Witt Jr., Bobby",,,-0.036,False,0.823,73.8,43.4,38.2,12.5,24.2,47.8
"Johnston, Troy",,,0.027,False,0.803,70.0,43.6,41.0,2.3,22.8,51.2
"Marte, Starling",,,-0.012,False,0.658,72.6,39.7,31.3,11.3,28.6,51.9
"McGonigle, Kevin",,,-0.001,False,0.818,71.3,50.4,36.3,7.8,15.4,42.0
"Osuna, Alejandro",,,-0.006,False,0.653,71.6,31.5,31.7,0.7,15.7,47.4
"Chapman, Matt",,,0.023,False,0.692,76.2,43.1,25.3,6.6,23.1,44.5
"Guerrero Jr., Vladimir",,,-0.036,False,0.694,76.2,31.7,29.8,7.0,19.7,47.8
"Adames, Willy",,,0.014,False,0.706,72.2,58.2,38.3,9.2,29.4,48.3
"Busch, Michael",,,-0.009,False,0.752,68.4,50.7,33.1,10.5,25.4,41.8
"Caglianone, Jac",,,-0.022,False,0.776,77.2,44.0,36.2,15.5,31.3,51.6
"Abreu, Wilyer",,,-0.006,False,0.751,73.8,47.9,35.1,11.2,23.6,49.7
"Ewing, A.J.",,,0.001,False,0.802,70.4,38.1,38.1,8.2,23.2,44.4
"Bleday, JJ",,,-0.008,False,0.825,73.9,53.7,42.5,9.6,26.2,45.6
